Subtotal Area	JACKIE SPEIER	CRISTINA OSMEÑA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9001 MB - None	89	7	257	101	2	0	3	96	0
Precinct 9453 - None	65	17	488	90	0	0	8	82	0
Precinct 9453 - None	142	28	488	175	0	0	5	170	0
Precinct 9712 - None	110	16	651	134	-1	0	8	127	1
Precinct 9712 - None	228	42	651	288	1	0	17	270	0
Precinct 9714 - None	113	27	911	154	0	0	14	140	0
Precinct 9714 - None	278	69	911	367	2	0	18	347	0
Precinct 9715 - None	129	17	566	162	0	0	14	148	2
Precinct 9715 - None	168	38	566	218	1	0	11	206	0
Precinct 9718 - None	140	28	843	183	-2	0	17	168	0
Precinct 9718 - None	296	70	843	385	3	0	16	366	0
Precinct 9719 - None	148	22	863	186	0	0	15	171	1
Precinct 9719 - None	297	59	863	389	1	0	31	357	1
Precinct 9721 - None	141	22	653	182	-1	0	19	164	1
Precinct 9721 - None	182	42	653	250	1	0	24	225	1
Precinct 9722 - None	63	15	593	86	0	0	8	78	0
Precinct 9722 - None	192	56	593	269	-3	0	24	248	0
Precinct 9723 - None	52	12	458	74	0	0	10	64	0
Precinct 9723 - None	135	43	458	198	1	0	18	179	1
Precinct 9724 - None	94	29	950	144	0	0	21	123	0
Precinct 9724 - None	243	98	950	386	-1	0	46	341	0
Precinct 9725 - None	73	26	941	118	-1	0	20	99	0
Precinct 9725 - None	228	74	941	350	0	0	47	303	1
Precinct 9726 - None	68	12	685	83	0	0	3	80	0
Precinct 9726 - None	98	29	685	137	0	0	9	128	1
Precinct 9727 - None	44	10	435	60	1	0	5	54	0
Precinct 9727 - None	136	46	435	205	2	0	21	182	0
Precinct 9728 - None	146	42	906	204	0	0	16	188	0
Precinct 9728 - None	269	84	906	378	-2	0	23	357	4
Precinct 9729 - None	108	33	782	161	1	0	19	141	0
Precinct 9729 - None	218	64	782	304	0	0	22	282	0
Precinct 9731 - None	101	24	529	138	0	0	12	126	1
Precinct 9731 - None	139	37	529	189	0	0	13	176	0
Precinct 9733 MB - None	126	13	224	146	0	0	7	139	0
Precinct 9734 - None	91	21	577	122	0	0	10	112	0
Precinct 9734 - None	202	44	577	261	1	1	13	246	0
Precinct 9735 - None	128	15	782	167	1	0	22	144	1
Precinct 9735 - None	260	59	782	344	0	0	25	319	0
Precinct 9736 - None	111	26	699	145	0	0	8	137	0
Precinct 9736 - None	253	32	699	305	1	0	17	287	2
Precinct 9737 - None	141	19	792	175	-1	0	14	162	2
Precinct 9737 - None	275	49	792	343	-3	0	22	324	0
Precinct 9738 - None	74	15	830	99	0	0	10	89	0
Precinct 9738 - None	197	42	830	263	4	1	18	240	1
Precinct 9739 - None	98	14	826	126	0	1	12	113	1
Precinct 9739 - None	153	25	826	193	-3	0	18	178	0
Precinct 9741 - None	15	1	1,022	19	0	0	3	16	0
Precinct 9741 - None	23	0	1,022	24	0	0	1	23	0
Precinct 9742 - None	101	23	647	134	0	0	10	124	0
Precinct 9742 - None	133	38	647	187	1	0	15	171	0
Precinct 9743 - None	133	18	1,093	172	0	0	21	151	0
Precinct 9743 - None	259	37	1,093	317	2	0	19	296	0
Precinct 9744 - None	105	23	902	141	0	0	13	128	0
Precinct 9744 - None	171	44	902	234	1	0	18	215	0
Precinct 9745 - None	102	18	934	141	0	0	20	121	1
Precinct 9745 - None	162	32	934	205	-1	0	12	194	0
Precinct 9746 - None	127	44	867	192	0	0	21	171	0
Precinct 9746 - None	251	54	867	334	2	0	27	305	0
Precinct 9747 - None	162	18	940	198	0	0	18	180	0
Precinct 9747 - None	243	39	940	323	0	0	40	283	1
Precinct 9748 - None	125	18	913	164	0	0	19	145	2
Precinct 9748 - None	252	60	913	342	3	0	26	313	1
Precinct 9749 - None	98	20	893	143	-1	0	25	119	1
Precinct 9749 - None	208	31	893	266	0	0	26	240	1
Precinct 9751 - None	122	20	977	157	-1	0	16	142	0
Precinct 9751 - None	294	54	977	384	2	0	33	349	1
Precinct 9752 - None	113	19	692	143	0	0	10	133	1
Precinct 9752 - None	234	44	692	305	2	0	25	278	0
Precinct 9753 - None	118	12	735	148	0	0	17	131	1
Precinct 9753 - None	220	27	735	266	-1	0	20	247	0
Precinct 9754 - None	133	17	701	169	0	1	17	151	1
Precinct 9754 - None	258	18	701	296	1	0	18	277	1
Precinct 9755 - None	93	16	553	120	-1	1	11	109	0
Precinct 9755 - None	154	32	553	201	0	0	15	186	0
Precinct 9756 - None	104	12	908	126	-1	0	11	116	0
Precinct 9756 - None	203	54	908	297	6	0	34	257	0
Precinct 9801 - None	48	14	399	76	0	0	14	62	0
Precinct 9801 - None	132	3	399	148	0	0	11	137	2
Congressional District 14	20,829	4,432	55,344	28,223	31	12	2,822	25,358	97
Assembly District 19	20,829	4,432	55,344	28,223	31	12	2,822	25,358	97
BART District 8	18,165	3,927	48,700	24,664	29	7	2,457	22,171	79
BART District 9	2,664	505	6,644	3,559	2	5	365	3,187	18
Supervisorial District 4	207	45	488	265	0	0	13	252	0
Supervisorial District 7	11,463	2,404	28,273	15,223	18	5	1,299	13,901	34
Supervisorial District 8	180	17	399	224	0	0	25	199	2
Supervisorial District 10	93	9	257	109	2	0	5	102	0
Supervisorial District 11	8,886	1,957	25,927	12,402	11	7	1,480	10,904	61
Excelsior	5,641	1,331	16,621	7,997	7	5	967	7,018	46
Ingleside	4,038	760	11,506	5,461	8	2	634	4,817	19
Lake Merced	2,483	592	8,641	3,424	2	2	339	3,081	6
Sunset	207	45	488	265	0	0	13	252	0
Visitation Valley	93	9	257	109	2	0	5	102	0
West of Twin Peaks	8,367	1,695	17,831	10,967	12	3	864	10,088	26
